abs,date,rate,year
537853,2000-01-01,22.9,2000
505479,2001-01-01,21.0,2001
494538,2002-01-01,20.2,2002
481399,2003-01-01,19.2,2003
481800,2004-01-01,18.9,2004
474473,2005-01-01,18.2,2005
472698,2006-01-01,17.8,2006
479647,2007-01-01,17.7,2007
493203,2008-01-01,17.9,2008
501644,2009-01-01,17.9,2009
491239,2010-01-01,17.2,2010
511594,2011-01-01,17.6,2011
526012,2012-01-01,17.8,2012
503914,2013-01-01,16.7,2013
528612,2014-01-01,17.2,2014
521136,2015-01-01,16.7,2015
508203,2016-01-01,16.1,2016
508685,2017-01-01,15.9,2017
501945,2018-01-01,15.5,2018
489863,2019-01-01,15.1,2019
471504,2020-01-01,14.5,2020
439744,2021-01-01,13.5,2021
423124,2022-01-01,12.9,2022
455761,2023-01-01,13.6,2023
