date,index,division,year
1960-01-01,21.3092412797334,overall,1960
1961-01-01,21.2707977630436,overall,1961
1962-01-01,21.2938638731113,overall,1962
1963-01-01,21.9550923595525,overall,1963
1964-01-01,21.8666722711776,overall,1964
1965-01-01,21.8436061611484,overall,1965
1966-01-01,22.0550455027883,overall,1966
1967-01-01,23.0641878148471,overall,1967
1968-01-01,23.0276664740477,overall,1968
1969-01-01,22.9334798581942,overall,1969
1970-01-01,23.3563585414548,overall,1970
1971-01-01,23.7331050045995,overall,1971
1972-01-01,24.5000531617548,overall,1972
1973-01-01,27.0873018323506,overall,1973
1974-01-01,31.781255215535,overall,1974
1975-01-01,33.2075096832608,overall,1975
1976-01-01,34.0820996870785,overall,1976
1977-01-01,35.7140269689273,overall,1977
1978-01-01,37.4497517457152,overall,1978
1979-01-01,38.8183409385794,overall,1979
1980-01-01,41.4094339608595,overall,1980
1981-01-01,45.4261490550629,overall,1981
1982-01-01,48.0694512559551,overall,1982
1983-01-01,49.8500569163408,overall,1983
1984-01-01,51.7928495263723,overall,1984
1985-01-01,51.9722904068005,overall,1985
1986-01-01,52.3553276711112,overall,1986
1987-01-01,52.5071622623698,overall,1987
1988-01-01,53.8495180799345,overall,1988
1989-01-01,55.3644132056691,overall,1989
1990-01-01,56.8137433942992,overall,1990
1991-01-01,59.2898757105672,overall,1991
1992-01-01,62.1163594444336,overall,1992
1993-01-01,64.3131575223467,overall,1993
1994-01-01,66.7088037021399,overall,1994
1995-01-01,69.0106410694247,overall,1995
1996-01-01,71.4181183158851,overall,1996
1997-01-01,73.3196361410336,overall,1997
1998-01-01,77.1838317213788,overall,1998
1999-01-01,79.302189298518,overall,1999
2000-01-01,80.55,overall,2000
2001-01-01,81.68333333333334,overall,2001
2002-01-01,83.14999999999999,overall,2002
2003-01-01,84.05833333333334,overall,2003
2004-01-01,85.24166666666666,overall,2004
2005-01-01,87.77499999999999,overall,2005
2006-01-01,90.95,overall,2006
2007-01-01,92.80833333333334,overall,2007
2008-01-01,97.84166666666664,overall,2008
2009-01-01,98.425,overall,2009
2010-01-01,100.01666666666668,overall,2010
2011-01-01,103.2,overall,2011
2012-01-01,104.90833333333336,overall,2012
2013-01-01,107.11666666666667,overall,2013
2014-01-01,110.48333333333332,overall,2014
2015-01-01,112.80833333333334,overall,2015
2016-01-01,115.15,overall,2016
2017-01-01,119.525,overall,2017
2018-01-01,120.68333333333334,overall,2018
2019-01-01,121.48333333333332,overall,2019
2020-01-01,120.1,overall,2020
2021-01-01,123.075,overall,2021
2022-01-01,127.23333333333332,overall,2022
2023-01-01,130.4,overall,2023
2024-01-01,132.79166666666666,overall,2024
1980-01-01,33.793185438162496,01,1980
1981-01-01,37.63129782773426,01,1981
1982-01-01,40.75339521372554,01,1982
1983-01-01,41.12040802066869,01,1983
1984-01-01,42.63718927351399,01,1984
1985-01-01,41.5864731879388,01,1985
1986-01-01,41.71419995436277,01,1986
1987-01-01,41.16543349919101,01,1987
1988-01-01,42.69758074292004,01,1988
1989-01-01,44.32014495007693,01,1989
1990-01-01,46.06591857478395,01,1990
1991-01-01,48.31469904825983,01,1991
1992-01-01,51.45497394245477,01,1992
1993-01-01,52.62331158499208,01,1993
1994-01-01,55.422287689823264,01,1994
