abs,date,rate,year
100707,2000-01-01,4.3,2000
104531,2001-01-01,4.3,2001
110367,2002-01-01,4.5,2002
112744,2003-01-01,4.5,2003
113192,2004-01-01,4.4,2004
115436,2005-01-01,4.4,2005
117778,2006-01-01,4.4,2006
120670,2007-01-01,4.5,2007
127098,2008-01-01,4.6,2008
131328,2009-01-01,4.7,2009
130978,2010-01-01,4.6,2010
135463,2011-01-01,4.7,2011
138692,2012-01-01,4.7,2012
142202,2013-01-01,4.7,2013
150318,2014-01-01,4.9,2014
155786,2015-01-01,5.0,2015
162201,2016-01-01,5.1,2016
168168,2017-01-01,5.3,2017
172031,2018-01-01,5.3,2018
174254,2019-01-01,5.4,2019
167181,2020-01-01,5.2,2020
224931,2021-01-01,6.9,2021
206780,2022-01-01,6.3,2022
196965,2023-01-01,5.9,2023
