date,income_mean,income_median,year
1970-01-01,264,166,1970
1974-01-01,362,227,1974
1976-01-01,505,308,1976
1979-01-01,678,429,1979
1984-01-01,1098,719,1984
1987-01-01,1083,738,1987
1989-01-01,1169,816,1989
1992-01-01,1566,1077,1992
1995-01-01,2020,1377,1995
1997-01-01,2606,1724,1997
1999-01-01,2472,1704,1999
2002-01-01,3011,2049,2002
2004-01-01,3249,2211,2004
2007-01-01,3686,2552,2007
2009-01-01,4025,2841,2009
2012-01-01,5000,3626,2012
2014-01-01,6141,4585,2014
2016-01-01,6958,5228,2016
2019-01-01,7901,5873,2019
2020-01-01,7089,5209,2020
2022-01-01,8479,6338,2022
