date,poverty_absolute,poverty_hardcore,poverty_relative,year
1970-01-01,49.3,,,1970
1976-01-01,37.7,,,1976
1979-01-01,37.4,,,1979
1984-01-01,20.7,6.9,,1984
1987-01-01,19.4,5.1,,1987
1989-01-01,16.5,3.9,,1989
1992-01-01,12.4,2.9,,1992
1995-01-01,8.7,2.0,19.5,1995
1997-01-01,6.1,1.4,19.7,1997
1999-01-01,7.5,1.4,19.0,1999
2002-01-01,5.1,1.0,20.0,2002
2004-01-01,5.7,1.2,19.9,2004
2007-01-01,3.6,0.7,17.4,2007
2009-01-01,3.8,0.7,19.3,2009
2012-01-01,1.7,0.2,19.2,2012
2014-01-01,0.6,0.1,15.6,2014
2016-01-01,0.4,0.0,15.9,2016
2019-01-01,5.6,0.4,16.9,2019
2020-01-01,8.4,1.0,16.2,2020
2022-01-01,6.2,0.2,16.6,2022
