age,sex,date,state,district,ethnicity,population,year
85+,both,2021-01-01,Kedah,Langkawi,other_citizen,0.0,2021
85+,both,2021-01-01,Kedah,Langkawi,other_noncitizen,0.0,2021
overall,female,2021-01-01,Kedah,Langkawi,overall,46.0,2021
overall,female,2021-01-01,Kedah,Langkawi,bumi_malay,41.1,2021
overall,female,2021-01-01,Kedah,Langkawi,bumi_other,0.2,2021
overall,female,2021-01-01,Kedah,Langkawi,chinese,2.2,2021
overall,female,2021-01-01,Kedah,Langkawi,indian,0.9,2021
overall,female,2021-01-01,Kedah,Langkawi,other_citizen,0.5,2021
overall,female,2021-01-01,Kedah,Langkawi,other_noncitizen,1.2,2021
0-4,female,2021-01-01,Kedah,Langkawi,overall,4.1,2021
0-4,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.7,2021
0-4,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0,2021
0-4,female,2021-01-01,Kedah,Langkawi,chinese,0.1,2021
0-4,female,2021-01-01,Kedah,Langkawi,indian,0.1,2021
0-4,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0,2021
0-4,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.3,2021
5-9,female,2021-01-01,Kedah,Langkawi,overall,4.1,2021
5-9,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.6,2021
5-9,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0,2021
5-9,female,2021-01-01,Kedah,Langkawi,chinese,0.2,2021
5-9,female,2021-01-01,Kedah,Langkawi,indian,0.1,2021
5-9,female,2021-01-01,Kedah,Langkawi,other_citizen,0.1,2021
5-9,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1,2021
10-14,female,2021-01-01,Kedah,Langkawi,overall,3.8,2021
10-14,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.4,2021
10-14,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0,2021
10-14,female,2021-01-01,Kedah,Langkawi,chinese,0.2,2021
10-14,female,2021-01-01,Kedah,Langkawi,indian,0.1,2021
10-14,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0,2021
10-14,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1,2021
15-19,female,2021-01-01,Kedah,Langkawi,overall,3.8,2021
15-19,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.5,2021
15-19,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0,2021
15-19,female,2021-01-01,Kedah,Langkawi,chinese,0.2,2021
