age,sex,date,ethnicity,population,year
overall,both,1970-01-01,overall,10881.8,1970
0-4,both,1970-01-01,overall,1702.4,1970
5-9,both,1970-01-01,overall,1690.3,1970
10-14,both,1970-01-01,overall,1454.7,1970
15-19,both,1970-01-01,overall,1197.6,1970
20-24,both,1970-01-01,overall,921.6,1970
25-29,both,1970-01-01,overall,692.5,1970
30-34,both,1970-01-01,overall,659.1,1970
35-39,both,1970-01-01,overall,521.7,1970
40-44,both,1970-01-01,overall,457.8,1970
45-49,both,1970-01-01,overall,382.1,1970
50-54,both,1970-01-01,overall,336.7,1970
55-59,both,1970-01-01,overall,273.7,1970
60-64,both,1970-01-01,overall,234.7,1970
65-69,both,1970-01-01,overall,145.8,1970
70+,both,1970-01-01,overall,211.1,1970
overall,female,1970-01-01,overall,5364.7,1970
0-4,female,1970-01-01,overall,833.1,1970
5-9,female,1970-01-01,overall,826.6,1970
10-14,female,1970-01-01,overall,714.6,1970
15-19,female,1970-01-01,overall,599.8,1970
20-24,female,1970-01-01,overall,461.2,1970
25-29,female,1970-01-01,overall,344.6,1970
30-34,female,1970-01-01,overall,325.8,1970
35-39,female,1970-01-01,overall,262.9,1970
40-44,female,1970-01-01,overall,226.6,1970
45-49,female,1970-01-01,overall,191.4,1970
50-54,female,1970-01-01,overall,165.2,1970
55-59,female,1970-01-01,overall,129.4,1970
60-64,female,1970-01-01,overall,111.5,1970
65-69,female,1970-01-01,overall,65.7,1970
70+,female,1970-01-01,overall,106.3,1970
overall,male,1970-01-01,overall,5517.0,1970
0-4,male,1970-01-01,overall,869.3,1970
5-9,male,1970-01-01,overall,863.7,1970
10-14,male,1970-01-01,overall,740.1,1970
15-19,male,1970-01-01,overall,597.8,1970
20-24,male,1970-01-01,overall,460.4,1970
25-29,male,1970-01-01,overall,347.9,1970
30-34,male,1970-01-01,overall,333.3,1970
35-39,male,1970-01-01,overall,258.8,1970
40-44,male,1970-01-01,overall,231.2,1970
45-49,male,1970-01-01,overall,190.8,1970
50-54,male,1970-01-01,overall,171.5,1970
55-59,male,1970-01-01,overall,144.3,1970
60-64,male,1970-01-01,overall,123.2,1970
65-69,male,1970-01-01,overall,80.0,1970
70+,male,1970-01-01,overall,104.8,1970
overall,both,1971-01-01,overall,11159.7,1971
