Year,Pop_Young,Pop_Elderly,Ageing_Index,Status
1970,445960.8,35006.0,7.84956884102818,Pre-Ageing (<100)
1971,451444.0,35990.4,7.972284491542695,Pre-Ageing (<100)
1972,457709.2,37002.4,8.084259612872104,Pre-Ageing (<100)
1973,463450.0,37996.0,8.198511166253102,Pre-Ageing (<100)
1974,469236.8,39026.4,8.316994745510156,Pre-Ageing (<100)
1975,475686.0,40158.0,8.44212358572672,Pre-Ageing (<100)
1976,481068.0,40746.8,8.470070759227387,Pre-Ageing (<100)
1977,487811.6,41482.8,8.503856816853064,Pre-Ageing (<100)
1978,493589.2,42209.6,8.55156474250247,Pre-Ageing (<100)
1979,500084.4,43037.6,8.606067295840461,Pre-Ageing (<100)
1980,509910.0,69883.2,13.705006765899864,Pre-Ageing (<100)
1981,517214.8,72164.8,13.952578309824082,Pre-Ageing (<100)
