Year,Count,Category
2000,100707,Deaths
2000,537853,Live Births
2001,104531,Deaths
2001,505479,Live Births
2002,110367,Deaths
2002,494538,Live Births
2003,112744,Deaths
2003,481399,Live Births
2004,113192,Deaths
2004,481800,Live Births
2005,115436,Deaths
2005,474473,Live Births
2006,117778,Deaths
2006,472698,Live Births
2007,120670,Deaths
2007,479647,Live Births
2008,127098,Deaths
2008,493203,Live Births
2009,131328,Deaths
2009,501644,Live Births
2010,130978,Deaths
2010,491239,Live Births
2011,135463,Deaths
2011,511594,Live Births
2012,138692,Deaths
2012,526012,Live Births
2013,142202,Deaths
2013,503914,Live Births
2014,150318,Deaths
2014,528612,Live Births
2015,155786,Deaths
2015,521136,Live Births
2016,162201,Deaths
2016,508203,Live Births
2017,168168,Deaths
2017,508685,Live Births
2018,172031,Deaths
2018,501945,Live Births
2019,174254,Deaths
2019,489863,Live Births
2020,167181,Deaths
2020,471504,Live Births
2021,224931,Deaths
2021,439744,Live Births
2022,206780,Deaths
2022,423124,Live Births
2023,196965,Deaths
2023,455761,Live Births
