Year,Category,Inflation_Pct_YoY
2001,Alcoholic Beverages & Tobacco,4.75
2001,Food & Non-Alcoholic Beverages,0.6666666666666666
2001,Overall CPI,1.4083333333333334
2002,Alcoholic Beverages & Tobacco,4.141666666666667
2002,Food & Non-Alcoholic Beverages,0.7
2002,Overall CPI,1.8
2003,Alcoholic Beverages & Tobacco,1.7666666666666666
2003,Food & Non-Alcoholic Beverages,1.3333333333333333
2003,Overall CPI,1.1083333333333334
2004,Alcoholic Beverages & Tobacco,7.716666666666667
2004,Food & Non-Alcoholic Beverages,2.2083333333333335
2004,Overall CPI,1.4083333333333334
2005,Alcoholic Beverages & Tobacco,10.65
2005,Food & Non-Alcoholic Beverages,3.6333333333333333
2005,Overall CPI,2.9583333333333335
2006,Alcoholic Beverages & Tobacco,6.975
2006,Food & Non-Alcoholic Beverages,3.325
2006,Overall CPI,3.6083333333333334
2007,Alcoholic Beverages & Tobacco,7.683333333333334
2007,Food & Non-Alcoholic Beverages,3.058333333333333
2007,Overall CPI,2.033333333333333
2008,Alcoholic Beverages & Tobacco,7.416666666666667
2008,Food & Non-Alcoholic Beverages,8.825
2008,Overall CPI,5.425
2009,Alcoholic Beverages & Tobacco,6.183333333333334
2009,Food & Non-Alcoholic Beverages,4.258333333333334
2009,Overall CPI,0.6583333333333333
2010,Alcoholic Beverages & Tobacco,3.8833333333333333
2010,Food & Non-Alcoholic Beverages,2.4
2010,Overall CPI,1.5916666666666666
2011,Alcoholic Beverages & Tobacco,4.683333333333334
2011,Food & Non-Alcoholic Beverages,4.791666666666667
2011,Overall CPI,3.183333333333333
2011,Restaurants & Hotels,3.15
2012,Alcoholic Beverages & Tobacco,0.4
2012,Food & Non-Alcoholic Beverages,2.716666666666667
2012,Overall CPI,1.675
2012,Restaurants & Hotels,1.975
2013,Alcoholic Beverages & Tobacco,5.933333333333334
2013,Food & Non-Alcoholic Beverages,3.566666666666667
2013,Overall CPI,2.091666666666667
2013,Restaurants & Hotels,0.30833333333333335
2014,Alcoholic Beverages & Tobacco,11.783333333333333
2014,Food & Non-Alcoholic Beverages,3.3333333333333335
2014,Overall CPI,3.158333333333333
2014,Restaurants & Hotels,0.6166666666666667
2015,Alcoholic Beverages & Tobacco,13.391666666666667
2015,Food & Non-Alcoholic Beverages,3.625
2015,Overall CPI,2.1
2015,Restaurants & Hotels,4.15
2016,Alcoholic Beverages & Tobacco,17.758333333333333
2016,Food & Non-Alcoholic Beverages,3.825
2016,Overall CPI,2.075
2016,Restaurants & Hotels,2.8916666666666666
2017,Alcoholic Beverages & Tobacco,0.2
2017,Food & Non-Alcoholic Beverages,3.966666666666667
2017,Overall CPI,3.7916666666666665
2017,Restaurants & Hotels,1.15
2018,Food & Non-Alcoholic Beverages,1.65
2018,Overall CPI,0.9833333333333333
2018,Restaurants & Hotels,-1.4083333333333334
2019,Food & Non-Alcoholic Beverages,1.6583333333333334
2019,Overall CPI,0.6666666666666666
2019,Restaurants & Hotels,0.4
2020,Food & Non-Alcoholic Beverages,1.275
2020,Overall CPI,-1.1416666666666666
2020,Restaurants & Hotels,2.6416666666666666
2021,Food & Non-Alcoholic Beverages,1.775
2021,Overall CPI,2.4916666666666667
2021,Restaurants & Hotels,0.49166666666666664
2022,Food & Non-Alcoholic Beverages,5.733333333333333
2022,Overall CPI,3.3833333333333333
2022,Restaurants & Hotels,1.975
2023,Food & Non-Alcoholic Beverages,4.866666666666666
2023,Overall CPI,2.5
2023,Restaurants & Hotels,2.475
2024,Food & Non-Alcoholic Beverages,1.9833333333333334
2024,Overall CPI,1.8333333333333333
2024,Restaurants & Hotels,3.0
2025,Food & Non-Alcoholic Beverages,2.0416666666666665
2025,Overall CPI,1.3833333333333333
2025,Restaurants & Hotels,4.383333333333334
2026,Food & Non-Alcoholic Beverages,1.5
2026,Overall CPI,1.6
2026,Restaurants & Hotels,6.6
