Year,TFR_National,Below_Replacement
1958,6.28,At/Above 2.1
1959,6.18,At/Above 2.1
1960,6.04,At/Above 2.1
1961,6.2,At/Above 2.1
1962,6.04,At/Above 2.1
1963,5.97,At/Above 2.1
1964,5.97,At/Above 2.1
1965,5.63,At/Above 2.1
1966,5.72,At/Above 2.1
1967,5.38,At/Above 2.1
1968,5.38,At/Above 2.1
1969,5.06,At/Above 2.1
1970,4.88,At/Above 2.1
1971,4.87,At/Above 2.1
1972,4.71,At/Above 2.1
1973,4.49,At/Above 2.1
1974,4.42,At/Above 2.1
1975,4.28,At/Above 2.1
1976,4.24,At/Above 2.1
1977,4.09,At/Above 2.1
1978,3.95,At/Above 2.1
1979,3.99,At/Above 2.1
1980,3.99,At/Above 2.1
1981,4.01,At/Above 2.1
1982,3.96,At/Above 2.1
1983,3.82,At/Above 2.1
1984,3.9,At/Above 2.1
1985,3.98,At/Above 2.1
1986,3.85,At/Above 2.1
1987,3.68,At/Above 2.1
1988,3.7,At/Above 2.1
1989,3.36,At/Above 2.1
1990,3.49,At/Above 2.1
1991,3.45,At/Above 2.1
1992,3.47,At/Above 2.1
1993,3.47,At/Above 2.1
1994,3.35,At/Above 2.1
1995,3.28,At/Above 2.1
1996,3.23,At/Above 2.1
1997,3.12,At/Above 2.1
1998,2.97,At/Above 2.1
1999,2.9,At/Above 2.1
2000,2.93,At/Above 2.1
2001,2.71,At/Above 2.1
2002,2.61,At/Above 2.1
2003,2.49,At/Above 2.1
2004,2.45,At/Above 2.1
2005,2.36,At/Above 2.1
2006,2.3,At/Above 2.1
2007,2.27,At/Above 2.1
2008,2.27,At/Above 2.1
2009,2.24,At/Above 2.1
2010,2.14,At/Above 2.1
2011,2.17,At/Above 2.1
2012,2.19,At/Above 2.1
2013,2.02,Below 2.1
2014,2.07,Below 2.1
2015,2.0,Below 2.1
2016,1.92,Below 2.1
2017,1.89,Below 2.1
2018,1.84,Below 2.1
2019,1.78,Below 2.1
2020,1.71,Below 2.1
2021,1.7,Below 2.1
2022,1.63,Below 2.1
2023,1.73,Below 2.1
