State,TFR,Year,Status
Terengganu,2.91,2023,At/Above 2.1
Kelantan,2.72,2023,At/Above 2.1
Pahang,2.14,2023,At/Above 2.1
Kedah,1.9799999999999998,2023,Below 2.1
Johor,1.82,2023,Below 2.1
W.P. Putrajaya,1.79,2023,Below 2.1
Negeri Sembilan,1.76,2023,Below 2.1
Perak,1.76,2023,Below 2.1
Sarawak,1.69,2023,Below 2.1
Perlis,1.68,2023,Below 2.1
Melaka,1.67,2023,Below 2.1
W.P. Labuan,1.61,2023,Below 2.1
Selangor,1.59,2023,Below 2.1
Sabah,1.46,2023,Below 2.1
W.P. Kuala Lumpur,1.31,2023,Below 2.1
Pulau Pinang,1.27,2023,Below 2.1
