Year,Age_Group,Sex,Population_Thousands,Population_Display
1970,0-4,female,833.1,833.1
1970,5-9,female,826.6,826.6
1970,10-14,female,714.6,714.6
1970,15-19,female,599.8,599.8
1970,20-24,female,461.2,461.2
1970,25-29,female,344.6,344.6
1970,30-34,female,325.8,325.8
1970,35-39,female,262.9,262.9
1970,40-44,female,226.6,226.6
1970,45-49,female,191.4,191.4
1970,50-54,female,165.2,165.2
1970,55-59,female,129.4,129.4
1970,60-64,female,111.5,111.5
1970,65-69,female,65.7,65.7
1970,0-4,male,869.3,-869.3
1970,5-9,male,863.7,-863.7
1970,10-14,male,740.1,-740.1
1970,15-19,male,597.8,-597.8
1970,20-24,male,460.4,-460.4
1970,25-29,male,347.9,-347.9
1970,30-34,male,333.3,-333.3
1970,35-39,male,258.8,-258.8
1970,40-44,male,231.2,-231.2
1970,45-49,male,190.8,-190.8
1970,50-54,male,171.5,-171.5
1970,55-59,male,144.3,-144.3
1970,60-64,male,123.2,-123.2
1970,65-69,male,80.0,-80.0
1971,0-4,female,844.2,844.2
1971,5-9,female,828.3,828.3
1971,10-14,female,734.4,734.4
1971,15-19,female,619.1,619.1
1971,20-24,female,485.4,485.4
1971,25-29,female,365.0,365.0
1971,30-34,female,329.2,329.2
1971,35-39,female,273.6,273.6
1971,40-44,female,232.8,232.8
1971,45-49,female,196.8,196.8
1971,50-54,female,168.9,168.9
1971,55-59,female,134.2,134.2
1971,60-64,female,112.4,112.4
1971,65-69,female,71.1,71.1
1971,0-4,male,881.6,-881.6
1971,5-9,male,861.5,-861.5
1971,10-14,male,757.0,-757.0
1971,15-19,male,619.6,-619.6
1971,20-24,male,485.3,-485.3
1971,25-29,male,369.2,-369.2
1971,30-34,male,337.0,-337.0
1971,35-39,male,271.8,-271.8
1971,40-44,male,235.8,-235.8
1971,45-49,male,197.0,-197.0
1971,50-54,male,173.3,-173.3
1971,55-59,male,146.4,-146.4
1971,60-64,male,123.7,-123.7
1971,65-69,male,84.1,-84.1
1972,0-4,female,859.8,859.8
1972,5-9,female,828.7,828.7
1972,10-14,female,754.5,754.5
1972,15-19,female,638.6,638.6
1972,20-24,female,509.8,509.8
1972,25-29,female,386.1,386.1
1972,30-34,female,332.4,332.4
1972,35-39,female,284.7,284.7
1972,40-44,female,238.7,238.7
1972,45-49,female,202.5,202.5
1972,50-54,female,172.3,172.3
1972,55-59,female,139.1,139.1
1972,60-64,female,113.3,113.3
1972,65-69,female,76.7,76.7
1972,0-4,male,898.2,-898.2
1972,5-9,male,859.7,-859.7
1972,10-14,male,774.2,-774.2
1972,15-19,male,640.9,-640.9
1972,20-24,male,509.5,-509.5
1972,25-29,male,391.4,-391.4
1972,30-34,male,340.6,-340.6
1972,35-39,male,285.6,-285.6
1972,40-44,male,240.1,-240.1
1972,45-49,male,203.4,-203.4
1972,50-54,male,174.9,-174.9
1972,55-59,male,148.8,-148.8
1972,60-64,male,124.1,-124.1
1972,65-69,male,88.1,-88.1
1973,0-4,female,873.8,873.8
1973,5-9,female,827.9,827.9
1973,10-14,female,773.7,773.7
1973,15-19,female,658.7,658.7
1973,20-24,female,533.9,533.9
1973,25-29,female,408.0,408.0
1973,30-34,female,335.2,335.2
1973,35-39,female,296.1,296.1
1973,40-44,female,244.1,244.1
1973,45-49,female,208.3,208.3
1973,50-54,female,175.4,175.4
1973,55-59,female,144.3,144.3
1973,60-64,female,114.1,114.1
1973,65-69,female,82.5,82.5
1973,0-4,male,913.1,-913.1
1973,5-9,male,858.3,-858.3
1973,10-14,male,790.8,-790.8
1973,15-19,male,661.2,-661.2
1973,20-24,male,532.3,-532.3
1973,25-29,male,414.3,-414.3
1973,30-34,male,344.1,-344.1
1973,35-39,male,300.1,-300.1
1973,40-44,male,244.2,-244.2
1973,45-49,male,210.1,-210.1
1973,50-54,male,176.3,-176.3
1973,55-59,male,151.2,-151.2
1973,60-64,male,124.2,-124.2
1973,65-69,male,92.2,-92.2
1974,0-4,female,888.1,888.1
1974,5-9,female,827.3,827.3
1974,10-14,female,791.2,791.2
