abs,date,rate
537853,2000-01-01,22.9
505479,2001-01-01,21.0
494538,2002-01-01,20.2
481399,2003-01-01,19.2
481800,2004-01-01,18.9
474473,2005-01-01,18.2
472698,2006-01-01,17.8
479647,2007-01-01,17.7
493203,2008-01-01,17.9
501644,2009-01-01,17.9
491239,2010-01-01,17.2
511594,2011-01-01,17.6
526012,2012-01-01,17.8
503914,2013-01-01,16.7
528612,2014-01-01,17.2
521136,2015-01-01,16.7
508203,2016-01-01,16.1
508685,2017-01-01,15.9
501945,2018-01-01,15.5
489863,2019-01-01,15.1
471504,2020-01-01,14.5
439744,2021-01-01,13.5
423124,2022-01-01,12.9
455761,2023-01-01,13.6
