date,index,division
2017-02-01,128.3,11
2017-03-01,128.5,11
2017-04-01,128.8,11
2017-05-01,129.0,11
2017-06-01,129.1,11
2017-07-01,129.4,11
2017-08-01,130.0,11
2017-09-01,130.1,11
2017-10-01,130.2,11
2017-11-01,130.4,11
2017-12-01,130.5,11
2018-01-01,130.9,11
2018-02-01,131.1,11
2018-03-01,131.2,11
2018-04-01,131.6,11
2018-05-01,131.9,11
2018-06-01,131.5,11
2018-07-01,131.6,11
2018-08-01,131.7,11
2018-09-01,132.1,11
2018-10-01,132.3,11
2018-11-01,132.5,11
2018-12-01,132.7,11
2019-01-01,132.9,11
2019-02-01,133.2,11
2010-01-01,99.3,overall
2010-02-01,99.3,overall
2010-03-01,99.3,overall
2010-04-01,99.3,overall
2010-05-01,99.5,overall
2010-06-01,99.7,overall
2010-07-01,100.0,overall
2010-08-01,100.3,overall
2010-09-01,100.4,overall
2010-10-01,100.6,overall
2010-11-01,100.9,overall
2010-12-01,101.3,overall
2011-01-01,102.0,overall
2011-02-01,102.5,overall
2011-03-01,102.6,overall
2011-04-01,102.8,overall
2011-05-01,103.0,overall
2011-06-01,103.4,overall
2011-07-01,103.6,overall
2011-08-01,103.7,overall
2011-09-01,103.9,overall
2011-10-01,104.2,overall
2011-11-01,104.3,overall
2011-12-01,104.4,overall
2012-01-01,104.8,overall
2012-02-01,104.6,overall
2012-03-01,104.6,overall
2012-04-01,104.5,overall
2012-05-01,104.9,overall
2012-06-01,105.1,overall
2012-07-01,105.1,overall
2012-08-01,105.3,overall
2012-09-01,105.4,overall
2012-10-01,105.6,overall
2012-11-01,105.7,overall
2012-12-01,105.7,overall
2013-01-01,106.3,overall
2013-02-01,106.5,overall
2013-03-01,106.6,overall
2013-04-01,106.6,overall
2013-05-01,107.0,overall
2013-06-01,107.1,overall
2013-07-01,107.4,overall
2013-08-01,107.5,overall
2013-09-01,108.4,overall
2013-10-01,108.8,overall
2013-11-01,109.1,overall
2013-12-01,109.5,overall
2014-01-01,110.0,overall
2014-02-01,110.4,overall
2014-03-01,110.4,overall
2014-04-01,110.4,overall
2014-05-01,110.5,overall
2014-06-01,110.7,overall
2014-07-01,110.9,overall
2014-08-01,111.1,overall
2014-09-01,111.3,overall
2014-10-01,111.8,overall
2014-11-01,112.4,overall
2014-12-01,112.4,overall
2015-01-01,111.5,overall
2015-02-01,110.8,overall
2015-03-01,111.6,overall
2015-04-01,112.7,overall
2015-05-01,113.1,overall
2015-06-01,113.7,overall
2015-07-01,114.6,overall
2015-08-01,114.7,overall
2015-09-01,114.4,overall
2015-10-01,114.9,overall
2015-11-01,115.6,overall
2015-12-01,115.7,overall
2016-01-01,115.5,overall
2016-02-01,115.6,overall
2016-03-01,115.0,overall
2016-04-01,115.4,overall
2016-05-01,115.7,overall
2016-06-01,115.9,overall
2016-07-01,116.3,overall
2016-08-01,116.6,overall
2016-09-01,116.4,overall
2016-10-01,116.5,overall
2016-11-01,117.6,overall
2016-12-01,117.8,overall
2017-01-01,119.0,overall
2017-02-01,120.4,overall
2017-03-01,120.1,overall
2017-04-01,119.9,overall
2017-05-01,119.8,overall
2017-06-01,119.7,overall
2017-07-01,119.7,overall
2017-08-01,120.7,overall
2017-09-01,120.9,overall
2017-10-01,120.7,overall
2017-11-01,121.4,overall
2017-12-01,121.7,overall
2018-01-01,122.2,overall
2018-02-01,122.2,overall
2018-03-01,121.8,overall
2018-04-01,121.6,overall
2018-05-01,121.8,overall
2018-06-01,120.7,overall
2018-07-01,120.9,overall
2018-08-01,121.1,overall
2018-09-01,121.2,overall
2018-10-01,121.5,overall
2018-11-01,121.7,overall
2018-12-01,121.9,overall
2019-01-01,121.6,overall
2019-02-01,121.8,overall
2019-03-01,121.9,overall
2019-04-01,121.8,overall
2019-05-01,122.0,overall
2019-06-01,122.1,overall
2019-07-01,122.2,overall
2019-08-01,122.5,overall
2019-09-01,122.5,overall
2019-10-01,122.5,overall
2019-11-01,122.7,overall
2019-12-01,122.9,overall
2020-01-01,123.1,overall
2020-02-01,123.1,overall
2020-03-01,121.9,overall
2020-04-01,118.8,overall
2020-05-01,119.1,overall
2020-06-01,120.2,overall
2020-07-01,120.8,overall
2020-08-01,120.9,overall
2020-09-01,120.8,overall
2020-10-01,120.9,overall
2020-11-01,120.7,overall
2020-12-01,121.4,overall
2021-01-01,122.7,overall
2021-02-01,123.1,overall
2021-03-01,123.5,overall
2021-04-01,123.6,overall
2021-05-01,123.6,overall
2021-06-01,123.7,overall
2021-07-01,123.0,overall
2021-08-01,123.1,overall
2021-09-01,123.4,overall
2021-10-01,124.3,overall
2021-11-01,124.7,overall
