abs,date,rate
100707,2000-01-01,4.3
104531,2001-01-01,4.3
110367,2002-01-01,4.5
112744,2003-01-01,4.5
113192,2004-01-01,4.4
115436,2005-01-01,4.4
117778,2006-01-01,4.4
120670,2007-01-01,4.5
127098,2008-01-01,4.6
131328,2009-01-01,4.7
130978,2010-01-01,4.6
135463,2011-01-01,4.7
138692,2012-01-01,4.7
142202,2013-01-01,4.7
150318,2014-01-01,4.9
155786,2015-01-01,5.0
162201,2016-01-01,5.1
168168,2017-01-01,5.3
172031,2018-01-01,5.3
174254,2019-01-01,5.4
167181,2020-01-01,5.2
224931,2021-01-01,6.9
206780,2022-01-01,6.3
196965,2023-01-01,5.9
