date,age_group,fertility_rate
1958-01-01,tfr,6.28
1959-01-01,tfr,6.18
1960-01-01,tfr,6.04
1961-01-01,tfr,6.2
1962-01-01,tfr,6.04
1963-01-01,tfr,5.97
1964-01-01,tfr,5.97
1965-01-01,tfr,5.63
1966-01-01,tfr,5.72
1967-01-01,tfr,5.38
1968-01-01,tfr,5.38
1969-01-01,tfr,5.06
1970-01-01,tfr,4.88
1971-01-01,tfr,4.87
1972-01-01,tfr,4.71
1973-01-01,tfr,4.49
1974-01-01,tfr,4.42
1975-01-01,tfr,4.28
1976-01-01,tfr,4.24
1977-01-01,tfr,4.09
1978-01-01,tfr,3.95
1979-01-01,tfr,3.99
1980-01-01,tfr,3.99
1981-01-01,tfr,4.01
1982-01-01,tfr,3.96
1983-01-01,tfr,3.82
1984-01-01,tfr,3.9
1985-01-01,tfr,3.98
1986-01-01,tfr,3.85
1987-01-01,tfr,3.68
1988-01-01,tfr,3.7
1989-01-01,tfr,3.36
1990-01-01,tfr,3.49
1991-01-01,tfr,3.45
1992-01-01,tfr,3.47
1993-01-01,tfr,3.47
1994-01-01,tfr,3.35
1995-01-01,tfr,3.28
1996-01-01,tfr,3.23
1997-01-01,tfr,3.12
1998-01-01,tfr,2.97
1999-01-01,tfr,2.9
2000-01-01,tfr,2.93
2001-01-01,tfr,2.71
2002-01-01,tfr,2.61
2003-01-01,tfr,2.49
2004-01-01,tfr,2.45
2005-01-01,tfr,2.36
2006-01-01,tfr,2.3
2007-01-01,tfr,2.27
2008-01-01,tfr,2.27
2009-01-01,tfr,2.24
2010-01-01,tfr,2.14
2011-01-01,tfr,2.17
2012-01-01,tfr,2.19
2013-01-01,tfr,2.02
2014-01-01,tfr,2.07
2015-01-01,tfr,2.0
2016-01-01,tfr,1.92
2017-01-01,tfr,1.89
2018-01-01,tfr,1.84
2019-01-01,tfr,1.78
2020-01-01,tfr,1.71
2021-01-01,tfr,1.7
2022-01-01,tfr,1.63
2023-01-01,tfr,1.73
1958-01-01,15–19,128.0
1959-01-01,15–19,123.0
1960-01-01,15–19,114.0
1961-01-01,15–19,118.0
1962-01-01,15–19,105.0
1963-01-01,15–19,91.0
1964-01-01,15–19,85.0
1965-01-01,15–19,80.0
1966-01-01,15–19,78.0
1967-01-01,15–19,68.0
1968-01-01,15–19,65.0
1969-01-01,15–19,58.0
1970-01-01,15–19,58.0
1971-01-01,15–19,58.0
1972-01-01,15–19,56.0
1973-01-01,15–19,53.0
1974-01-01,15–19,53.0
