date,state,age_group,fertility_rate
2001-01-01,Kelantan,45-49,10.0
2002-01-01,Kelantan,45-49,9.0
2003-01-01,Kelantan,45-49,8.0
2004-01-01,Kelantan,45-49,7.0
2005-01-01,Kelantan,45-49,7.0
2006-01-01,Kelantan,45-49,6.0
2007-01-01,Kelantan,45-49,6.0
2008-01-01,Kelantan,45-49,5.0
2009-01-01,Kelantan,45-49,5.0
2010-01-01,Kelantan,45-49,5.0
2011-01-01,Kelantan,45-49,4.0
2012-01-01,Kelantan,45-49,4.0
2013-01-01,Kelantan,45-49,4.0
2014-01-01,Kelantan,45-49,4.0
2015-01-01,Kelantan,45-49,4.0
2016-01-01,Kelantan,45-49,3.0
2017-01-01,Kelantan,45-49,3.0
2018-01-01,Kelantan,45-49,3.13
2019-01-01,Kelantan,45-49,2.99
2020-01-01,Kelantan,45-49,2.96
2021-01-01,Kelantan,45-49,3.32
2022-01-01,Kelantan,45-49,2.0
2023-01-01,Kelantan,45-49,2.0
2001-01-01,Melaka,45-49,2.0
2002-01-01,Melaka,45-49,2.0
2003-01-01,Melaka,45-49,2.0
2004-01-01,Melaka,45-49,1.0
2005-01-01,Melaka,45-49,2.0
2006-01-01,Melaka,45-49,1.0
2007-01-01,Melaka,45-49,2.0
2008-01-01,Melaka,45-49,1.0
2009-01-01,Melaka,45-49,1.0
2010-01-01,Melaka,45-49,1.0
2011-01-01,Melaka,45-49,1.0
2012-01-01,Melaka,45-49,1.0
2013-01-01,Melaka,45-49,1.0
2014-01-01,Melaka,45-49,1.0
2015-01-01,Melaka,45-49,1.0
2016-01-01,Melaka,45-49,1.0
2017-01-01,Melaka,45-49,1.0
2018-01-01,Melaka,45-49,1.26
2019-01-01,Melaka,45-49,1.31
2020-01-01,Melaka,45-49,0.76
2021-01-01,Melaka,45-49,0.67
2022-01-01,Melaka,45-49,1.0
2023-01-01,Melaka,45-49,1.0
2001-01-01,Negeri Sembilan,45-49,2.0
2002-01-01,Negeri Sembilan,45-49,2.0
2003-01-01,Negeri Sembilan,45-49,2.0
2004-01-01,Negeri Sembilan,45-49,1.0
2005-01-01,Negeri Sembilan,45-49,1.0
2006-01-01,Negeri Sembilan,45-49,1.0
2007-01-01,Negeri Sembilan,45-49,1.0
2008-01-01,Negeri Sembilan,45-49,1.0
2009-01-01,Negeri Sembilan,45-49,1.0
2010-01-01,Negeri Sembilan,45-49,1.0
2011-01-01,Negeri Sembilan,45-49,1.0
2012-01-01,Negeri Sembilan,45-49,1.0
2013-01-01,Negeri Sembilan,45-49,1.0
2014-01-01,Negeri Sembilan,45-49,1.0
2015-01-01,Negeri Sembilan,45-49,1.0
2016-01-01,Negeri Sembilan,45-49,1.0
2017-01-01,Negeri Sembilan,45-49,1.0
2018-01-01,Negeri Sembilan,45-49,1.34
2019-01-01,Negeri Sembilan,45-49,1.14
2020-01-01,Negeri Sembilan,45-49,1.2
