date,state,income_mean,income_median
1970-01-01,Johor,237,
1974-01-01,Johor,382,269.0
1976-01-01,Johor,513,370.0
1979-01-01,Johor,731,518.0
1984-01-01,Johor,1065,793.0
1987-01-01,Johor,1060,816.0
1989-01-01,Johor,1150,880.0
1992-01-01,Johor,1713,1225.0
1995-01-01,Johor,2138,1610.0
1997-01-01,Johor,2772,2056.0
1999-01-01,Johor,2646,2012.0
2002-01-01,Johor,2963,2212.0
2004-01-01,Johor,3076,2325.0
2007-01-01,Johor,3457,2726.0
2009-01-01,Johor,3835,2958.0
2012-01-01,Johor,4658,3650.0
2014-01-01,Johor,6207,5197.0
2016-01-01,Johor,6928,5652.0
2019-01-01,Johor,8013,6427.0
2020-01-01,Johor,7264,5690.0
2022-01-01,Johor,8517,6879.0
1970-01-01,Kedah,189,
1974-01-01,Kedah,256,151.0
1976-01-01,Kedah,306,193.0
1979-01-01,Kedah,382,259.0
1984-01-01,Kedah,690,472.0
1987-01-01,Kedah,718,531.0
1989-01-01,Kedah,749,552.0
1992-01-01,Kedah,1048,758.0
1995-01-01,Kedah,1295,990.0
1997-01-01,Kedah,1590,1171.0
1999-01-01,Kedah,1612,1225.0
2002-01-01,Kedah,1966,1451.0
2004-01-01,Kedah,2126,1607.0
2007-01-01,Kedah,2408,1756.0
2009-01-01,Kedah,2667,1966.0
2012-01-01,Kedah,3425,2633.0
2014-01-01,Kedah,4478,3451.0
2016-01-01,Kedah,4971,3811.0
2019-01-01,Kedah,5522,4325.0
2020-01-01,Kedah,5005,3829.0
2022-01-01,Kedah,5550,4402.0
1970-01-01,Kelantan,151,
1974-01-01,Kelantan,231,108.0
1976-01-01,Kelantan,269,163.0
1979-01-01,Kelantan,341,256.0
1984-01-01,Kelantan,625,436.0
1987-01-01,Kelantan,667,482.0
1989-01-01,Kelantan,712,528.0
1992-01-01,Kelantan,907,632.0
1995-01-01,Kelantan,1091,789.0
1997-01-01,Kelantan,1249,872.0
1999-01-01,Kelantan,1314,946.0
2002-01-01,Kelantan,1674,1154.0
2004-01-01,Kelantan,1829,1258.0
2007-01-01,Kelantan,2143,1510.0
2009-01-01,Kelantan,2536,1713.0
2012-01-01,Kelantan,3168,2276.0
2014-01-01,Kelantan,3715,2716.0
2016-01-01,Kelantan,4214,3079.0
2019-01-01,Kelantan,4874,3563.0
2020-01-01,Kelantan,4411,3010.0
2022-01-01,Kelantan,4885,3614.0
1970-01-01,Melaka,265,
1974-01-01,Melaka,410,255.0
1976-01-01,Melaka,568,350.0
1979-01-01,Melaka,772,528.0
1984-01-01,Melaka,1040,738.0
1987-01-01,Melaka,1034,780.0
1989-01-01,Melaka,1084,828.0
1992-01-01,Melaka,1459,1118.0
1995-01-01,Melaka,1843,1391.0
1997-01-01,Melaka,2276,1793.0
1999-01-01,Melaka,2260,1715.0
