date,state,poverty_absolute,poverty_hardcore,poverty_relative
1970-01-01,Johor,45.7,,
1976-01-01,Johor,29.0,,
1979-01-01,Johor,18.2,,
1984-01-01,Johor,12.2,3.1,
1987-01-01,Johor,11.1,2.6,
1989-01-01,Johor,10.1,1.5,
1992-01-01,Johor,5.6,1.1,
1995-01-01,Johor,3.1,0.5,16.1
1997-01-01,Johor,1.6,0.3,15.8
1999-01-01,Johor,2.5,0.4,15.6
2002-01-01,Johor,1.8,0.2,16.1
2004-01-01,Johor,2.0,0.3,15.3
2007-01-01,Johor,1.5,0.2,14.2
2009-01-01,Johor,1.3,0.1,17.2
2012-01-01,Johor,0.9,0.1,16.1
2014-01-01,Johor,0.0,0.0,10.2
2016-01-01,Johor,0.0,0.0,13.5
2019-01-01,Johor,3.9,0.2,15.3
2020-01-01,Johor,5.9,0.6,13.9
2022-01-01,Johor,4.6,0.1,15.9
1970-01-01,Kedah,63.2,,
1976-01-01,Kedah,61.0,,
1979-01-01,Kedah,53.8,,
1984-01-01,Kedah,36.6,13.5,
1987-01-01,Kedah,31.3,9.8,
1989-01-01,Kedah,30.0,8.4,
1992-01-01,Kedah,21.2,5.4,
1995-01-01,Kedah,12.2,3.7,16.3
1997-01-01,Kedah,11.5,3.9,18.7
1999-01-01,Kedah,13.5,3.1,19.1
2002-01-01,Kedah,10.7,3.0,18.5
2004-01-01,Kedah,7.0,1.3,15.7
2007-01-01,Kedah,3.1,0.3,11.8
2009-01-01,Kedah,5.3,0.8,16.0
2012-01-01,Kedah,1.7,0.1,16.5
2014-01-01,Kedah,0.3,0.0,12.1
2016-01-01,Kedah,0.2,0.0,15.9
2019-01-01,Kedah,8.8,0.5,10.9
2020-01-01,Kedah,12.7,1.5,10.0
2022-01-01,Kedah,9.0,0.3,11.9
1970-01-01,Kelantan,76.1,,
1976-01-01,Kelantan,67.1,,
1979-01-01,Kelantan,55.0,,
1984-01-01,Kelantan,39.2,15.5,
1987-01-01,Kelantan,31.6,7.6,
1989-01-01,Kelantan,29.9,7.2,
1992-01-01,Kelantan,29.5,8.7,
1995-01-01,Kelantan,22.9,7.4,20.8
1997-01-01,Kelantan,19.5,5.7,17.8
1999-01-01,Kelantan,18.7,4.3,16.7
2002-01-01,Kelantan,12.4,3.6,15.4
2004-01-01,Kelantan,10.6,1.3,12.1
2007-01-01,Kelantan,7.2,1.5,10.2
2009-01-01,Kelantan,4.8,1.0,11.4
2012-01-01,Kelantan,2.7,0.3,14.3
2014-01-01,Kelantan,0.9,0.2,12.4
2016-01-01,Kelantan,0.4,0.1,12.1
2019-01-01,Kelantan,12.4,1.0,9.9
2020-01-01,Kelantan,21.2,4.1,11.4
2022-01-01,Kelantan,13.2,0.8,12.2
1970-01-01,Melaka,44.9,,
1976-01-01,Melaka,32.4,,
1979-01-01,Melaka,20.4,,
1984-01-01,Melaka,15.8,5.5,
