age,sex,date,state,district,ethnicity,population
85+,both,2021-01-01,Kedah,Langkawi,other_citizen,0.0
85+,both,2021-01-01,Kedah,Langkawi,other_noncitizen,0.0
overall,female,2021-01-01,Kedah,Langkawi,overall,46.0
overall,female,2021-01-01,Kedah,Langkawi,bumi_malay,41.1
overall,female,2021-01-01,Kedah,Langkawi,bumi_other,0.2
overall,female,2021-01-01,Kedah,Langkawi,chinese,2.2
overall,female,2021-01-01,Kedah,Langkawi,indian,0.9
overall,female,2021-01-01,Kedah,Langkawi,other_citizen,0.5
overall,female,2021-01-01,Kedah,Langkawi,other_noncitizen,1.2
0-4,female,2021-01-01,Kedah,Langkawi,overall,4.1
0-4,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.7
0-4,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
0-4,female,2021-01-01,Kedah,Langkawi,chinese,0.1
0-4,female,2021-01-01,Kedah,Langkawi,indian,0.1
0-4,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0
0-4,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.3
5-9,female,2021-01-01,Kedah,Langkawi,overall,4.1
5-9,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.6
5-9,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
5-9,female,2021-01-01,Kedah,Langkawi,chinese,0.2
5-9,female,2021-01-01,Kedah,Langkawi,indian,0.1
5-9,female,2021-01-01,Kedah,Langkawi,other_citizen,0.1
5-9,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1
10-14,female,2021-01-01,Kedah,Langkawi,overall,3.8
10-14,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.4
10-14,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
10-14,female,2021-01-01,Kedah,Langkawi,chinese,0.2
10-14,female,2021-01-01,Kedah,Langkawi,indian,0.1
10-14,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0
10-14,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1
15-19,female,2021-01-01,Kedah,Langkawi,overall,3.8
15-19,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.5
15-19,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
15-19,female,2021-01-01,Kedah,Langkawi,chinese,0.2
15-19,female,2021-01-01,Kedah,Langkawi,indian,0.1
15-19,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0
15-19,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1
20-24,female,2021-01-01,Kedah,Langkawi,overall,4.5
20-24,female,2021-01-01,Kedah,Langkawi,bumi_malay,4.0
20-24,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
20-24,female,2021-01-01,Kedah,Langkawi,chinese,0.2
20-24,female,2021-01-01,Kedah,Langkawi,indian,0.1
20-24,female,2021-01-01,Kedah,Langkawi,other_citizen,0.1
20-24,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1
25-29,female,2021-01-01,Kedah,Langkawi,overall,4.1
25-29,female,2021-01-01,Kedah,Langkawi,bumi_malay,3.7
25-29,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
25-29,female,2021-01-01,Kedah,Langkawi,chinese,0.2
25-29,female,2021-01-01,Kedah,Langkawi,indian,0.1
25-29,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0
25-29,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1
30-34,female,2021-01-01,Kedah,Langkawi,overall,3.3
30-34,female,2021-01-01,Kedah,Langkawi,bumi_malay,2.9
30-34,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
30-34,female,2021-01-01,Kedah,Langkawi,chinese,0.2
30-34,female,2021-01-01,Kedah,Langkawi,indian,0.1
30-34,female,2021-01-01,Kedah,Langkawi,other_citizen,0.1
30-34,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1
35-39,female,2021-01-01,Kedah,Langkawi,overall,3.0
35-39,female,2021-01-01,Kedah,Langkawi,bumi_malay,2.7
35-39,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
35-39,female,2021-01-01,Kedah,Langkawi,chinese,0.1
35-39,female,2021-01-01,Kedah,Langkawi,indian,0.1
35-39,female,2021-01-01,Kedah,Langkawi,other_citizen,0.1
35-39,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1
40-44,female,2021-01-01,Kedah,Langkawi,overall,2.5
40-44,female,2021-01-01,Kedah,Langkawi,bumi_malay,2.3
40-44,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
40-44,female,2021-01-01,Kedah,Langkawi,chinese,0.1
40-44,female,2021-01-01,Kedah,Langkawi,indian,0.1
40-44,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0
40-44,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.1
45-49,female,2021-01-01,Kedah,Langkawi,overall,2.5
45-49,female,2021-01-01,Kedah,Langkawi,bumi_malay,2.2
45-49,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
45-49,female,2021-01-01,Kedah,Langkawi,chinese,0.1
45-49,female,2021-01-01,Kedah,Langkawi,indian,0.1
45-49,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0
45-49,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.0
50-54,female,2021-01-01,Kedah,Langkawi,overall,2.5
50-54,female,2021-01-01,Kedah,Langkawi,bumi_malay,2.2
50-54,female,2021-01-01,Kedah,Langkawi,bumi_other,0.1
50-54,female,2021-01-01,Kedah,Langkawi,chinese,0.1
50-54,female,2021-01-01,Kedah,Langkawi,indian,0.1
50-54,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0
50-54,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.0
55-59,female,2021-01-01,Kedah,Langkawi,overall,2.2
55-59,female,2021-01-01,Kedah,Langkawi,bumi_malay,2.0
55-59,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
55-59,female,2021-01-01,Kedah,Langkawi,chinese,0.1
55-59,female,2021-01-01,Kedah,Langkawi,indian,0.1
55-59,female,2021-01-01,Kedah,Langkawi,other_citizen,0.0
55-59,female,2021-01-01,Kedah,Langkawi,other_noncitizen,0.0
60-64,female,2021-01-01,Kedah,Langkawi,overall,2.0
60-64,female,2021-01-01,Kedah,Langkawi,bumi_malay,1.8
60-64,female,2021-01-01,Kedah,Langkawi,bumi_other,0.0
60-64,female,2021-01-01,Kedah,Langkawi,chinese,0.1
60-64,female,2021-01-01,Kedah,Langkawi,indian,0.0
