age,sex,date,ethnicity,population
overall,both,1970-01-01,overall,10881.8
0-4,both,1970-01-01,overall,1702.4
5-9,both,1970-01-01,overall,1690.3
10-14,both,1970-01-01,overall,1454.7
15-19,both,1970-01-01,overall,1197.6
20-24,both,1970-01-01,overall,921.6
25-29,both,1970-01-01,overall,692.5
30-34,both,1970-01-01,overall,659.1
35-39,both,1970-01-01,overall,521.7
40-44,both,1970-01-01,overall,457.8
45-49,both,1970-01-01,overall,382.1
50-54,both,1970-01-01,overall,336.7
55-59,both,1970-01-01,overall,273.7
60-64,both,1970-01-01,overall,234.7
65-69,both,1970-01-01,overall,145.8
70+,both,1970-01-01,overall,211.1
overall,female,1970-01-01,overall,5364.7
0-4,female,1970-01-01,overall,833.1
5-9,female,1970-01-01,overall,826.6
10-14,female,1970-01-01,overall,714.6
15-19,female,1970-01-01,overall,599.8
20-24,female,1970-01-01,overall,461.2
25-29,female,1970-01-01,overall,344.6
30-34,female,1970-01-01,overall,325.8
35-39,female,1970-01-01,overall,262.9
40-44,female,1970-01-01,overall,226.6
45-49,female,1970-01-01,overall,191.4
50-54,female,1970-01-01,overall,165.2
55-59,female,1970-01-01,overall,129.4
60-64,female,1970-01-01,overall,111.5
65-69,female,1970-01-01,overall,65.7
70+,female,1970-01-01,overall,106.3
overall,male,1970-01-01,overall,5517.0
0-4,male,1970-01-01,overall,869.3
5-9,male,1970-01-01,overall,863.7
10-14,male,1970-01-01,overall,740.1
15-19,male,1970-01-01,overall,597.8
20-24,male,1970-01-01,overall,460.4
25-29,male,1970-01-01,overall,347.9
30-34,male,1970-01-01,overall,333.3
35-39,male,1970-01-01,overall,258.8
40-44,male,1970-01-01,overall,231.2
45-49,male,1970-01-01,overall,190.8
50-54,male,1970-01-01,overall,171.5
55-59,male,1970-01-01,overall,144.3
60-64,male,1970-01-01,overall,123.2
65-69,male,1970-01-01,overall,80.0
70+,male,1970-01-01,overall,104.8
overall,both,1971-01-01,overall,11159.7
0-4,both,1971-01-01,overall,1725.9
5-9,both,1971-01-01,overall,1689.8
10-14,both,1971-01-01,overall,1491.3
15-19,both,1971-01-01,overall,1238.7
20-24,both,1971-01-01,overall,970.7
25-29,both,1971-01-01,overall,734.2
30-34,both,1971-01-01,overall,666.2
35-39,both,1971-01-01,overall,545.4
40-44,both,1971-01-01,overall,468.5
45-49,both,1971-01-01,overall,393.8
50-54,both,1971-01-01,overall,342.1
55-59,both,1971-01-01,overall,280.6
60-64,both,1971-01-01,overall,236.1
65-69,both,1971-01-01,overall,155.1
70+,both,1971-01-01,overall,221.2
overall,female,1971-01-01,overall,5506.3
0-4,female,1971-01-01,overall,844.2
5-9,female,1971-01-01,overall,828.3
10-14,female,1971-01-01,overall,734.4
15-19,female,1971-01-01,overall,619.1
20-24,female,1971-01-01,overall,485.4
25-29,female,1971-01-01,overall,365.0
30-34,female,1971-01-01,overall,329.2
35-39,female,1971-01-01,overall,273.6
40-44,female,1971-01-01,overall,232.8
45-49,female,1971-01-01,overall,196.8
50-54,female,1971-01-01,overall,168.9
55-59,female,1971-01-01,overall,134.2
60-64,female,1971-01-01,overall,112.4
65-69,female,1971-01-01,overall,71.1
70+,female,1971-01-01,overall,111.2
overall,male,1971-01-01,overall,5653.4
0-4,male,1971-01-01,overall,881.6
5-9,male,1971-01-01,overall,861.5
10-14,male,1971-01-01,overall,757.0
15-19,male,1971-01-01,overall,619.6
20-24,male,1971-01-01,overall,485.3
25-29,male,1971-01-01,overall,369.2
30-34,male,1971-01-01,overall,337.0
35-39,male,1971-01-01,overall,271.8
40-44,male,1971-01-01,overall,235.8
45-49,male,1971-01-01,overall,197.0
50-54,male,1971-01-01,overall,173.3
55-59,male,1971-01-01,overall,146.4
60-64,male,1971-01-01,overall,123.7
65-69,male,1971-01-01,overall,84.1
70+,male,1971-01-01,overall,110.0
overall,both,1972-01-01,overall,11441.3
0-4,both,1972-01-01,overall,1758.0
5-9,both,1972-01-01,overall,1688.4
10-14,both,1972-01-01,overall,1528.7
15-19,both,1972-01-01,overall,1279.5
20-24,both,1972-01-01,overall,1019.3
25-29,both,1972-01-01,overall,777.5
30-34,both,1972-01-01,overall,673.0
35-39,both,1972-01-01,overall,570.3
40-44,both,1972-01-01,overall,478.8
45-49,both,1972-01-01,overall,405.9
50-54,both,1972-01-01,overall,347.2
55-59,both,1972-01-01,overall,287.9
60-64,both,1972-01-01,overall,237.4
65-69,both,1972-01-01,overall,164.8
70+,both,1972-01-01,overall,224.5
overall,female,1972-01-01,overall,5649.8
0-4,female,1972-01-01,overall,859.8
5-9,female,1972-01-01,overall,828.7
10-14,female,1972-01-01,overall,754.5
15-19,female,1972-01-01,overall,638.6
20-24,female,1972-01-01,overall,509.8
25-29,female,1972-01-01,overall,386.1
30-34,female,1972-01-01,overall,332.4
35-39,female,1972-01-01,overall,284.7
40-44,female,1972-01-01,overall,238.7
45-49,female,1972-01-01,overall,202.5
50-54,female,1972-01-01,overall,172.3
55-59,female,1972-01-01,overall,139.1
60-64,female,1972-01-01,overall,113.3
65-69,female,1972-01-01,overall,76.7
70+,female,1972-01-01,overall,112.6
overall,male,1972-01-01,overall,5791.5
0-4,male,1972-01-01,overall,898.2
5-9,male,1972-01-01,overall,859.7
10-14,male,1972-01-01,overall,774.2
15-19,male,1972-01-01,overall,640.9
20-24,male,1972-01-01,overall,509.5
25-29,male,1972-01-01,overall,391.4
30-34,male,1972-01-01,overall,340.6
35-39,male,1972-01-01,overall,285.6
40-44,male,1972-01-01,overall,240.1
45-49,male,1972-01-01,overall,203.4
50-54,male,1972-01-01,overall,174.9
55-59,male,1972-01-01,overall,148.8
60-64,male,1972-01-01,overall,124.1
65-69,male,1972-01-01,overall,88.1
70+,male,1972-01-01,overall,111.9
overall,both,1973-01-01,overall,11719.8
0-4,both,1973-01-01,overall,1786.9
5-9,both,1973-01-01,overall,1686.2
10-14,both,1973-01-01,overall,1564.4
15-19,both,1973-01-01,overall,1319.9
20-24,both,1973-01-01,overall,1066.1
25-29,both,1973-01-01,overall,822.2
30-34,both,1973-01-01,overall,679.3
35-39,both,1973-01-01,overall,596.2
40-44,both,1973-01-01,overall,488.3
45-49,both,1973-01-01,overall,418.4
50-54,both,1973-01-01,overall,351.7
55-59,both,1973-01-01,overall,295.5
60-64,both,1973-01-01,overall,238.3
65-69,both,1973-01-01,overall,174.7
70+,both,1973-01-01,overall,231.6
overall,female,1973-01-01,overall,5791.9
0-4,female,1973-01-01,overall,873.8
5-9,female,1973-01-01,overall,827.9
10-14,female,1973-01-01,overall,773.7
15-19,female,1973-01-01,overall,658.7
20-24,female,1973-01-01,overall,533.9
25-29,female,1973-01-01,overall,408.0
30-34,female,1973-01-01,overall,335.2
35-39,female,1973-01-01,overall,296.1
40-44,female,1973-01-01,overall,244.1
45-49,female,1973-01-01,overall,208.3
50-54,female,1973-01-01,overall,175.4
55-59,female,1973-01-01,overall,144.3
60-64,female,1973-01-01,overall,114.1
65-69,female,1973-01-01,overall,82.5
70+,female,1973-01-01,overall,116.0
overall,male,1973-01-01,overall,5927.9
0-4,male,1973-01-01,overall,913.1
5-9,male,1973-01-01,overall,858.3
10-14,male,1973-01-01,overall,790.8
15-19,male,1973-01-01,overall,661.2
20-24,male,1973-01-01,overall,532.3
25-29,male,1973-01-01,overall,414.3
30-34,male,1973-01-01,overall,344.1
35-39,male,1973-01-01,overall,300.1
40-44,male,1973-01-01,overall,244.2
45-49,male,1973-01-01,overall,210.1
50-54,male,1973-01-01,overall,176.3
55-59,male,1973-01-01,overall,151.2
60-64,male,1973-01-01,overall,124.2
65-69,male,1973-01-01,overall,92.2
70+,male,1973-01-01,overall,115.6
overall,both,1974-01-01,overall,12001.3
0-4,both,1974-01-01,overall,1816.2
5-9,both,1974-01-01,overall,1686.4
10-14,both,1974-01-01,overall,1597.8
15-19,both,1974-01-01,overall,1361.1
20-24,both,1974-01-01,overall,1110.9
25-29,both,1974-01-01,overall,868.8
30-34,both,1974-01-01,overall,685.7
35-39,both,1974-01-01,overall,623.4
40-44,both,1974-01-01,overall,497.1
45-49,both,1974-01-01,overall,431.5
50-54,both,1974-01-01,overall,355.7
55-59,both,1974-01-01,overall,303.6
60-64,both,1974-01-01,overall,239.1
65-69,both,1974-01-01,overall,185.1
70+,both,1974-01-01,overall,238.9
overall,female,1974-01-01,overall,5935.0
0-4,female,1974-01-01,overall,888.1
5-9,female,1974-01-01,overall,827.3
10-14,female,1974-01-01,overall,791.2
15-19,female,1974-01-01,overall,680.1
20-24,female,1974-01-01,overall,557.4
25-29,female,1974-01-01,overall,430.7
30-34,female,1974-01-01,overall,337.9
35-39,female,1974-01-01,overall,307.9
40-44,female,1974-01-01,overall,249.1
45-49,female,1974-01-01,overall,214.4
50-54,female,1974-01-01,overall,178.1
55-59,female,1974-01-01,overall,149.7
60-64,female,1974-01-01,overall,114.9
65-69,female,1974-01-01,overall,88.8
70+,female,1974-01-01,overall,119.5
overall,male,1974-01-01,overall,6066.3
0-4,male,1974-01-01,overall,928.1
5-9,male,1974-01-01,overall,859.1
10-14,male,1974-01-01,overall,806.6
15-19,male,1974-01-01,overall,681.0
20-24,male,1974-01-01,overall,553.5
25-29,male,1974-01-01,overall,438.1
30-34,male,1974-01-01,overall,347.8
35-39,male,1974-01-01,overall,315.5
40-44,male,1974-01-01,overall,248.0
45-49,male,1974-01-01,overall,217.1
50-54,male,1974-01-01,overall,177.6
55-59,male,1974-01-01,overall,153.9
60-64,male,1974-01-01,overall,124.3
65-69,male,1974-01-01,overall,96.3
70+,male,1974-01-01,overall,119.4
overall,both,1975-01-01,overall,12300.3
0-4,both,1975-01-01,overall,1846.3
5-9,both,1975-01-01,overall,1693.9
10-14,both,1975-01-01,overall,1630.3
15-19,both,1975-01-01,overall,1403.7
20-24,both,1975-01-01,overall,1154.9
25-29,both,1975-01-01,overall,918.5
30-34,both,1975-01-01,overall,692.9
35-39,both,1975-01-01,overall,652.9
40-44,both,1975-01-01,overall,505.8
45-49,both,1975-01-01,overall,445.9
50-54,both,1975-01-01,overall,359.8
55-59,both,1975-01-01,overall,312.3
60-64,both,1975-01-01,overall,240.1
65-69,both,1975-01-01,overall,196.4
70+,both,1975-01-01,overall,246.5
overall,female,1975-01-01,overall,6087.2
0-4,female,1975-01-01,overall,902.9
5-9,female,1975-01-01,overall,829.5
10-14,female,1975-01-01,overall,807.7
15-19,female,1975-01-01,overall,703.3
20-24,female,1975-01-01,overall,581.1
25-29,female,1975-01-01,overall,455.0
30-34,female,1975-01-01,overall,340.9
35-39,female,1975-01-01,overall,320.6
40-44,female,1975-01-01,overall,254.0
45-49,female,1975-01-01,overall,221.1
50-54,female,1975-01-01,overall,180.8
55-59,female,1975-01-01,overall,155.5
60-64,female,1975-01-01,overall,115.8
65-69,female,1975-01-01,overall,95.6
70+,female,1975-01-01,overall,123.2
overall,male,1975-01-01,overall,6213.1
0-4,male,1975-01-01,overall,943.4
5-9,male,1975-01-01,overall,864.4
10-14,male,1975-01-01,overall,822.6
15-19,male,1975-01-01,overall,700.4
20-24,male,1975-01-01,overall,573.7
25-29,male,1975-01-01,overall,463.5
30-34,male,1975-01-01,overall,352.0
35-39,male,1975-01-01,overall,332.2
40-44,male,1975-01-01,overall,251.8
45-49,male,1975-01-01,overall,224.8
50-54,male,1975-01-01,overall,178.9
55-59,male,1975-01-01,overall,156.8
60-64,male,1975-01-01,overall,124.3
65-69,male,1975-01-01,overall,100.8
70+,male,1975-01-01,overall,123.3
overall,both,1976-01-01,overall,12588.1
0-4,both,1976-01-01,overall,1871.2
5-9,both,1976-01-01,overall,1723.1
10-14,both,1976-01-01,overall,1634.7
15-19,both,1976-01-01,overall,1438.5
20-24,both,1976-01-01,overall,1193.0
25-29,both,1976-01-01,overall,959.8
30-34,both,1976-01-01,overall,733.2
35-39,both,1976-01-01,overall,660.0
40-44,both,1976-01-01,overall,529.9
45-49,both,1976-01-01,overall,454.5
50-54,both,1976-01-01,overall,371.6
55-59,both,1976-01-01,overall,316.2
60-64,both,1976-01-01,overall,246.4
65-69,both,1976-01-01,overall,196.5
70+,both,1976-01-01,overall,259.2
overall,female,1976-01-01,overall,6233.7
0-4,female,1976-01-01,overall,914.4
5-9,female,1976-01-01,overall,843.4
10-14,female,1976-01-01,overall,809.9
15-19,female,1976-01-01,overall,722.1
20-24,female,1976-01-01,overall,601.0
25-29,female,1976-01-01,overall,476.5
30-34,female,1976-01-01,overall,360.4
35-39,female,1976-01-01,overall,323.8
40-44,female,1976-01-01,overall,264.8
45-49,female,1976-01-01,overall,226.1
50-54,female,1976-01-01,overall,186.6
55-59,female,1976-01-01,overall,158.3
60-64,female,1976-01-01,overall,120.3
65-69,female,1976-01-01,overall,96.0
70+,female,1976-01-01,overall,130.2
overall,male,1976-01-01,overall,6354.5
0-4,male,1976-01-01,overall,956.8
5-9,male,1976-01-01,overall,879.8
10-14,male,1976-01-01,overall,824.8
15-19,male,1976-01-01,overall,716.5
20-24,male,1976-01-01,overall,592.1
25-29,male,1976-01-01,overall,483.3
30-34,male,1976-01-01,overall,372.7
35-39,male,1976-01-01,overall,336.2
40-44,male,1976-01-01,overall,265.1
45-49,male,1976-01-01,overall,228.4
50-54,male,1976-01-01,overall,185.1
55-59,male,1976-01-01,overall,158.0
60-64,male,1976-01-01,overall,126.1
65-69,male,1976-01-01,overall,100.6
70+,male,1976-01-01,overall,129.0
overall,both,1977-01-01,overall,12901.1
0-4,both,1977-01-01,overall,1901.2
5-9,both,1977-01-01,overall,1756.6
10-14,both,1977-01-01,overall,1644.5
15-19,both,1977-01-01,overall,1476.3
20-24,both,1977-01-01,overall,1233.4
25-29,both,1977-01-01,overall,1001.7
30-34,both,1977-01-01,overall,776.4
35-39,both,1977-01-01,overall,668.5
40-44,both,1977-01-01,overall,556.6
45-49,both,1977-01-01,overall,463.6
50-54,both,1977-01-01,overall,385.0
55-59,both,1977-01-01,overall,320.6
60-64,both,1977-01-01,overall,253.8
65-69,both,1977-01-01,overall,197.1
70+,both,1977-01-01,overall,265.9
overall,female,1977-01-01,overall,6392.7
0-4,female,1977-01-01,overall,928.7
5-9,female,1977-01-01,overall,859.6
10-14,female,1977-01-01,overall,813.6
15-19,female,1977-01-01,overall,742.1
20-24,female,1977-01-01,overall,622.6
25-29,female,1977-01-01,overall,498.8
30-34,female,1977-01-01,overall,381.5
35-39,female,1977-01-01,overall,327.5
40-44,female,1977-01-01,overall,276.8
45-49,female,1977-01-01,overall,231.3
50-54,female,1977-01-01,overall,193.0
55-59,female,1977-01-01,overall,161.2
60-64,female,1977-01-01,overall,125.3
65-69,female,1977-01-01,overall,96.6
70+,female,1977-01-01,overall,134.1
overall,male,1977-01-01,overall,6508.4
0-4,male,1977-01-01,overall,972.4
5-9,male,1977-01-01,overall,897.0
10-14,male,1977-01-01,overall,830.9
15-19,male,1977-01-01,overall,734.2
20-24,male,1977-01-01,overall,610.8
25-29,male,1977-01-01,overall,502.8
30-34,male,1977-01-01,overall,394.9
35-39,male,1977-01-01,overall,341.0
40-44,male,1977-01-01,overall,279.9
45-49,male,1977-01-01,overall,232.2
50-54,male,1977-01-01,overall,192.0
55-59,male,1977-01-01,overall,159.4
60-64,male,1977-01-01,overall,128.5
65-69,male,1977-01-01,overall,100.5
70+,male,1977-01-01,overall,131.8
overall,both,1978-01-01,overall,13200.2
0-4,both,1978-01-01,overall,1919.9
5-9,both,1978-01-01,overall,1788.8
10-14,both,1978-01-01,overall,1656.4
15-19,both,1978-01-01,overall,1510.8
20-24,both,1978-01-01,overall,1272.2
25-29,both,1978-01-01,overall,1040.7
30-34,both,1978-01-01,overall,820.9
35-39,both,1978-01-01,overall,676.3
40-44,both,1978-01-01,overall,584.2
45-49,both,1978-01-01,overall,471.7
50-54,both,1978-01-01,overall,398.7
55-59,both,1978-01-01,overall,324.3
60-64,both,1978-01-01,overall,261.4
65-69,both,1978-01-01,overall,197.4
70+,both,1978-01-01,overall,276.5
overall,female,1978-01-01,overall,6544.4
0-4,female,1978-01-01,overall,937.3
5-9,female,1978-01-01,overall,875.3
10-14,female,1978-01-01,overall,817.3
15-19,female,1978-01-01,overall,759.9
20-24,female,1978-01-01,overall,644.3
25-29,female,1978-01-01,overall,520.5
30-34,female,1978-01-01,overall,403.1
35-39,female,1978-01-01,overall,330.8
40-44,female,1978-01-01,overall,288.8
45-49,female,1978-01-01,overall,236.0
50-54,female,1978-01-01,overall,199.6
55-59,female,1978-01-01,overall,163.7
60-64,female,1978-01-01,overall,130.5
65-69,female,1978-01-01,overall,97.2
70+,female,1978-01-01,overall,140.2
overall,male,1978-01-01,overall,6655.8
0-4,male,1978-01-01,overall,982.5
5-9,male,1978-01-01,overall,913.5
10-14,male,1978-01-01,overall,839.1
15-19,male,1978-01-01,overall,750.9
20-24,male,1978-01-01,overall,627.9
25-29,male,1978-01-01,overall,520.2
30-34,male,1978-01-01,overall,417.8
35-39,male,1978-01-01,overall,345.6
40-44,male,1978-01-01,overall,295.4
45-49,male,1978-01-01,overall,235.7
50-54,male,1978-01-01,overall,199.1
55-59,male,1978-01-01,overall,160.6
60-64,male,1978-01-01,overall,130.9
65-69,male,1978-01-01,overall,100.2
70+,male,1978-01-01,overall,136.4
overall,both,1979-01-01,overall,13518.3
0-4,both,1979-01-01,overall,1935.7
5-9,both,1979-01-01,overall,1823.4
10-14,both,1979-01-01,overall,1676.6
15-19,both,1979-01-01,overall,1544.3
20-24,both,1979-01-01,overall,1313.1
25-29,both,1979-01-01,overall,1078.9
30-34,both,1979-01-01,overall,868.4
35-39,both,1979-01-01,overall,685.3
40-44,both,1979-01-01,overall,614.3
45-49,both,1979-01-01,overall,480.1
50-54,both,1979-01-01,overall,413.8
55-59,both,1979-01-01,overall,328.1
60-64,both,1979-01-01,overall,270.0
65-69,both,1979-01-01,overall,197.8
70+,both,1979-01-01,overall,288.3
overall,female,1979-01-01,overall,6705.7
0-4,female,1979-01-01,overall,944.2
5-9,female,1979-01-01,overall,892.3
10-14,female,1979-01-01,overall,824.4
15-19,female,1979-01-01,overall,776.7
20-24,female,1979-01-01,overall,668.3
25-29,female,1979-01-01,overall,542.5
30-34,female,1979-01-01,overall,426.2
35-39,female,1979-01-01,overall,334.5
40-44,female,1979-01-01,overall,301.9
45-49,female,1979-01-01,overall,240.7
50-54,female,1979-01-01,overall,206.8
55-59,female,1979-01-01,overall,166.2
60-64,female,1979-01-01,overall,136.2
65-69,female,1979-01-01,overall,98.0
70+,female,1979-01-01,overall,146.9
overall,male,1979-01-01,overall,6812.5
0-4,male,1979-01-01,overall,991.5
5-9,male,1979-01-01,overall,931.1
10-14,male,1979-01-01,overall,852.2
15-19,male,1979-01-01,overall,767.6
20-24,male,1979-01-01,overall,644.8
25-29,male,1979-01-01,overall,536.4
30-34,male,1979-01-01,overall,442.2
35-39,male,1979-01-01,overall,350.9
40-44,male,1979-01-01,overall,312.4
45-49,male,1979-01-01,overall,239.4
50-54,male,1979-01-01,overall,207.0
55-59,male,1979-01-01,overall,161.9
60-64,male,1979-01-01,overall,133.9
65-69,male,1979-01-01,overall,99.8
70+,male,1979-01-01,overall,141.4
overall,both,1980-01-01,overall,13879.3
overall,both,1980-01-01,bumi,7926.7
overall,both,1980-01-01,chinese,4460.1
overall,both,1980-01-01,indian,1189.8
overall,both,1980-01-01,other,302.7
0-4,both,1980-01-01,overall,1979.2
0-4,both,1980-01-01,bumi,1210.2
0-4,both,1980-01-01,chinese,567.4
0-4,both,1980-01-01,indian,160.5
0-4,both,1980-01-01,other,41.1
5-9,both,1980-01-01,overall,1844.2
5-9,both,1980-01-01,bumi,1101.3
5-9,both,1980-01-01,chinese,560.5
5-9,both,1980-01-01,indian,142.5
5-9,both,1980-01-01,other,39.9
10-14,both,1980-01-01,overall,1719.1
10-14,both,1980-01-01,bumi,983.4
10-14,both,1980-01-01,chinese,544.7
10-14,both,1980-01-01,indian,146.1
10-14,both,1980-01-01,other,44.9
15-19,both,1980-01-01,overall,1576.5
15-19,both,1980-01-01,bumi,903.7
15-19,both,1980-01-01,chinese,491.3
15-19,both,1980-01-01,indian,144.1
15-19,both,1980-01-01,other,37.4
20-24,both,1980-01-01,overall,1355.2
20-24,both,1980-01-01,bumi,768.2
20-24,both,1980-01-01,chinese,417.0
20-24,both,1980-01-01,indian,131.8
20-24,both,1980-01-01,other,38.2
25-29,both,1980-01-01,overall,1118.2
25-29,both,1980-01-01,bumi,616.5
25-29,both,1980-01-01,chinese,368.9
25-29,both,1980-01-01,indian,105.0
25-29,both,1980-01-01,other,27.7
30-34,both,1980-01-01,overall,901.2
30-34,both,1980-01-01,bumi,486.9
30-34,both,1980-01-01,chinese,315.6
30-34,both,1980-01-01,indian,78.0
30-34,both,1980-01-01,other,20.6
35-39,both,1980-01-01,overall,729.9
35-39,both,1980-01-01,bumi,395.3
35-39,both,1980-01-01,chinese,262.0
35-39,both,1980-01-01,indian,58.1
35-39,both,1980-01-01,other,14.5
40-44,both,1980-01-01,overall,613.2
40-44,both,1980-01-01,bumi,337.5
40-44,both,1980-01-01,chinese,214.7
40-44,both,1980-01-01,indian,49.4
40-44,both,1980-01-01,other,11.6
45-49,both,1980-01-01,overall,516.1
45-49,both,1980-01-01,bumi,293.1
45-49,both,1980-01-01,chinese,170.6
45-49,both,1980-01-01,indian,44.3
45-49,both,1980-01-01,other,8.0
50-54,both,1980-01-01,overall,424.5
50-54,both,1980-01-01,bumi,248.8
50-54,both,1980-01-01,chinese,131.3
50-54,both,1980-01-01,indian,38.2
50-54,both,1980-01-01,other,6.3
55-59,both,1980-01-01,overall,342.5
55-59,both,1980-01-01,bumi,202.1
55-59,both,1980-01-01,chinese,104.4
55-59,both,1980-01-01,indian,31.6
55-59,both,1980-01-01,other,4.4
60-64,both,1980-01-01,overall,268.4
60-64,both,1980-01-01,bumi,149.4
